date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:36:07	252/252	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Apr%202024%2011:06:07%20GMT	https://geekfolio-nextjs.themescamp.com/robots.txt		(from )
16:36:07	102459/102459	---M-Z	200	added ('OK')	text/html	etag:%221903b-601a33d85474d-gzip%22	https://geekfolio-nextjs.themescamp.com/dark/home-main/	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/home-main/index.html	(from )
16:36:07	452/452	---MCZ	200	added ('OK')	text/css	etag:W/%2264c5477d-1c4%22	https://geekfolio-nextjs.themescamp.com/dark/assets/css/base.css	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/css/base.css	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:07	73271/73271	---M-Z	200	added ('OK')	text/css	etag:W/%2211e37-gaZqnrLenLCs4BvyXVKzdrhY6WA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.7.2/font/bootstrap-icons.css	C:/Users/shrey/Desktop/Hawkeye2/cdn.jsdelivr.net/npm/bootstrap-icons@1.7.2/font/bootstrap-icons.css	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:08	1315/1315	---MCZ	200	added ('OK')	text/css	etag:W/%2264c5477e-523%22	https://geekfolio-nextjs.themescamp.com/dark/assets/css/plugins.css	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/css/plugins.css	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:08	195985/195985	---MCZ	200	added ('OK')	text/css	etag:W/%2264c5477e-2fd91%22	https://geekfolio-nextjs.themescamp.com/dark/assets/css/style.css	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/dark/assets/css/style.css	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:08	20244/20244	---MCZ	200	added ('OK')	text/css	etag:W/%2264c54760-4f14%22	https://geekfolio-nextjs.themescamp.com/_next/static/css/79e328fba8a99f7d.css	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/_next/static/css/79e328fba8a99f7d.css	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:09	91460/91460	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264c5475f-16544%22	https://geekfolio-nextjs.themescamp.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:09	104714/104714	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264c5476d-1990a%22	https://geekfolio-nextjs.themescamp.com/assets/js/plugins.js	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/assets/js/plugins.js	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:09	115913/115913	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264c5476e-1c4c9%22	https://geekfolio-nextjs.themescamp.com/assets/js/TweenMax.min.js	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/assets/js/TweenMax.min.js	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:09	527/527	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264c5476c-20f%22	https://geekfolio-nextjs.themescamp.com/assets/js/charming.min.js	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/assets/js/charming.min.js	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:10	2147/2147	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264c5476d-863%22	https://geekfolio-nextjs.themescamp.com/assets/js/countdown.js	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/assets/js/countdown.js	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:10	9350/9350	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264c5476d-2486%22	https://geekfolio-nextjs.themescamp.com/assets/js/parallax.min.js	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/assets/js/parallax.min.js	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:10	40607/40607	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264c5476e-9e9f%22	https://geekfolio-nextjs.themescamp.com/assets/js/ScrollTrigger.min.js	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/assets/js/ScrollTrigger.min.js	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:10	62360/62360	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264c5476d-f398%22	https://geekfolio-nextjs.themescamp.com/assets/js/gsap.min.js	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/assets/js/gsap.min.js	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:11	3722/3722	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264c5476e-e8a%22	https://geekfolio-nextjs.themescamp.com/assets/js/splitting.min.js	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/assets/js/splitting.min.js	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:11	35456/35456	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264c5476d-8a80%22	https://geekfolio-nextjs.themescamp.com/assets/js/isotope.pkgd.min.js	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/assets/js/isotope.pkgd.min.js	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:11	5447/5447	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264c5476f-1547%22	https://geekfolio-nextjs.themescamp.com/assets/js/imgReveal/imagesloaded.pkgd.min.js	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/assets/js/imgReveal/imagesloaded.pkgd.min.js	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:11	12188/12188	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264c5476e-2f9c%22	https://geekfolio-nextjs.themescamp.com/assets/js/ScrollSmoother.min.js	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/assets/js/ScrollSmoother.min.js	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:12	14452/14452	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264c5483f-3874%22	https://geekfolio-nextjs.themescamp.com/showcase/assets/js/anime.min.js	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/showcase/assets/js/anime.min.js	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:12	1525/1525	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264c54760-5f5%22	https://geekfolio-nextjs.themescamp.com/_next/static/chunks/webpack-65ab24ab46d7f417.js	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/_next/static/chunks/webpack-65ab24ab46d7f417.js	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:12	141053/141053	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264c5475f-226fd%22	https://geekfolio-nextjs.themescamp.com/_next/static/chunks/framework-3671d8951bf44e4e.js	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/_next/static/chunks/framework-3671d8951bf44e4e.js	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
16:36:12	101770/101770	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264c5475f-18d8a%22	https://geekfolio-nextjs.themescamp.com/_next/static/chunks/main-def5803cdbdc2ee9.js	C:/Users/shrey/Desktop/Hawkeye2/geekfolio-nextjs.themescamp.com/_next/static/chunks/main-def5803cdbdc2ee9.js	(from https://geekfolio-nextjs.themescamp.com/dark/home-main/)
